To request GPUs, add --gpus-per-node X or --gpus X, where X is the desired number of GPUs.
Job 107705 running on easley[017-018]
On-NUMA Ping-Pong:
Size 8: 4.254751e-07
Size 16: 4.255108e-07
Size 32: 5.094241e-07
Size 64: 5.179686e-07
Size 128: 8.025895e-07
Size 256: 8.722820e-07
Size 512: 1.069870e-06
Size 1024: 1.356881e-06
Size 2048: 1.774022e-06
Size 4096: 2.636258e-06
Size 8192: 3.948515e-06
Size 16384: 6.736809e-06
Size 32768: 1.117395e-05
Size 65536: 1.702622e-05
Size 131072: 2.705291e-05
Size 262144: 2.787564e-04
Size 524288: 5.545883e-04
Size 1048576: 1.140362e-03
Size 2097152: 2.472369e-03
Size 4194304: 5.034812e-03
Size 8388608: 1.045142e-02
Size 16777216: 2.112439e-02

On-Socket MultiProc Ping-Pong:
Active Procs: 1
Size 1: 4.266803e-07
Size 2: 4.269048e-07
Size 4: 4.258361e-07
Size 8: 4.268596e-07
Size 16: 4.300578e-07
Size 32: 5.186711e-07
Size 64: 5.198885e-07
Size 128: 8.071088e-07
Size 256: 8.867503e-07
Size 512: 1.093143e-06
Size 1024: 1.397823e-06
Size 2048: 1.821154e-06
Size 4096: 2.530312e-06
Size 8192: 3.922466e-06
Size 16384: 6.608779e-06
Size 32768: 1.090890e-05
Size 65536: 1.639224e-05
Size 131072: 2.654890e-05
Size 262144: 2.591848e-05
Size 524288: 4.881678e-05
Size 1048576: 1.204698e-04
Size 2097152: 3.994591e-04
Size 4194304: 7.939241e-04
Size 8388608: 1.584017e-03
Size 16777216: 3.242271e-03

Active Procs: 2
Size 1: 4.311972e-07
Size 2: 4.295749e-07
Size 4: 4.273114e-07
Size 8: 4.291071e-07
Size 16: 4.275786e-07
Size 32: 5.220772e-07
Size 64: 5.271694e-07
Size 128: 8.128968e-07
Size 256: 8.782642e-07
Size 512: 1.092222e-06
Size 1024: 1.405380e-06
Size 2048: 1.825071e-06
Size 4096: 2.535281e-06
Size 8192: 3.937684e-06
Size 16384: 6.633994e-06
Size 32768: 1.094570e-05
Size 65536: 1.642510e-05
Size 131072: 2.663791e-05
Size 262144: 3.270783e-05
Size 524288: 6.330940e-05
Size 1048576: 1.393543e-04
Size 2097152: 4.235243e-04
Size 4194304: 8.427778e-04
Size 8388608: 1.683239e-03
Size 16777216: 3.427023e-03

Active Procs: 4
Size 1: 4.280165e-07
Size 2: 4.271294e-07
Size 4: 4.267855e-07
Size 8: 4.284825e-07
Size 16: 4.286143e-07
Size 32: 5.183395e-07
Size 64: 5.243135e-07
Size 128: 8.127500e-07
Size 256: 8.837178e-07
Size 512: 1.095308e-06
Size 1024: 1.407973e-06
Size 2048: 1.830726e-06
Size 4096: 2.561112e-06
Size 8192: 3.971197e-06
Size 16384: 6.680295e-06
Size 32768: 1.102591e-05
Size 65536: 1.656734e-05
Size 131072: 2.687101e-05
Size 262144: 8.265727e-05
Size 524288: 1.673220e-04
Size 1048576: 3.223581e-04
Size 2097152: 6.516961e-04
Size 4194304: 1.300041e-03
Size 8388608: 2.611031e-03
Size 16777216: 5.484602e-03

Active Procs: 8
Size 1: 4.295951e-07
Size 2: 4.303701e-07
Size 4: 4.314309e-07
Size 8: 4.323714e-07
Size 16: 4.310421e-07
Size 32: 5.157612e-07
Size 64: 5.192147e-07
Size 128: 8.098317e-07
Size 256: 8.966074e-07
Size 512: 1.088291e-06
Size 1024: 1.385144e-06
Size 2048: 1.814999e-06
Size 4096: 2.578226e-06
Size 8192: 3.945215e-06
Size 16384: 6.659022e-06
Size 32768: 1.115167e-05
Size 65536: 1.688425e-05
Size 131072: 2.702274e-05
Size 262144: 1.918617e-04
Size 524288: 3.911145e-04
Size 1048576: 8.016862e-04
Size 2097152: 1.629637e-03
Size 4194304: 3.263775e-03
Size 8388608: 6.515397e-03
Size 16777216: 1.284045e-02

Active Procs: 16
Size 1: 4.429300e-07
Size 2: 4.274501e-07
Size 4: 4.272273e-07
Size 8: 4.283880e-07
Size 16: 4.287488e-07
Size 32: 5.044926e-07
Size 64: 5.068997e-07
Size 128: 7.998547e-07
Size 256: 8.819154e-07
Size 512: 1.066421e-06
Size 1024: 1.382726e-06
Size 2048: 1.776523e-06
Size 4096: 2.555427e-06
Size 8192: 3.939652e-06
Size 16384: 6.699962e-06
Size 32768: 1.120640e-05
Size 65536: 1.704066e-05
Size 131072: 2.730447e-05
Size 262144: 2.791080e-04
Size 524288: 5.593031e-04
Size 1048576: 1.140801e-03
Size 2097152: 2.470442e-03
Size 4194304: 5.030715e-03
Size 8388608: 1.046990e-02
Size 16777216: 2.119211e-02

On-Node, Off-Socket MultiProc Ping-Pong:
Active Procs: 1
Size 1: 4.248010e-07
Size 2: 4.255176e-07
Size 4: 4.227014e-07
Size 8: 4.255648e-07
Size 16: 4.259114e-07
Size 32: 5.122829e-07
Size 64: 5.139585e-07
Size 128: 8.030075e-07
Size 256: 8.803900e-07
Size 512: 1.096154e-06
Size 1024: 1.356514e-06
Size 2048: 1.804404e-06
Size 4096: 2.502082e-06
Size 8192: 3.865792e-06
Size 16384: 6.557293e-06
Size 32768: 1.075444e-05
Size 65536: 1.613071e-05
Size 131072: 2.600193e-05
Size 262144: 2.610349e-05
Size 524288: 4.889163e-05
Size 1048576: 1.208425e-04
Size 2097152: 3.998201e-04
Size 4194304: 7.950357e-04
Size 8388608: 1.584681e-03
Size 16777216: 3.300316e-03

Active Procs: 2
Size 1: 4.276299e-07
Size 2: 4.230583e-07
Size 4: 4.237314e-07
Size 8: 4.267658e-07
Size 16: 4.271426e-07
Size 32: 5.119393e-07
Size 64: 5.150552e-07
Size 128: 8.079638e-07
Size 256: 8.810022e-07
Size 512: 1.091951e-06
Size 1024: 1.375899e-06
Size 2048: 1.803103e-06
Size 4096: 2.502334e-06
Size 8192: 3.891651e-06
Size 16384: 6.592376e-06
Size 32768: 1.090883e-05
Size 65536: 1.631416e-05
Size 131072: 2.632681e-05
Size 262144: 3.271927e-05
Size 524288: 6.345661e-05
Size 1048576: 1.399671e-04
Size 2097152: 4.248674e-04
Size 4194304: 8.448368e-04
Size 8388608: 1.684534e-03
Size 16777216: 3.496538e-03

Active Procs: 4
Size 1: 4.233470e-07
Size 2: 4.241112e-07
Size 4: 4.235675e-07
Size 8: 4.252493e-07
Size 16: 4.247368e-07
Size 32: 5.079785e-07
Size 64: 5.188517e-07
Size 128: 8.062929e-07
Size 256: 8.888032e-07
Size 512: 1.087096e-06
Size 1024: 1.356999e-06
Size 2048: 1.804983e-06
Size 4096: 2.528243e-06
Size 8192: 3.905157e-06
Size 16384: 6.645924e-06
Size 32768: 1.097030e-05
Size 65536: 1.635898e-05
Size 131072: 2.647321e-05
Size 262144: 8.212877e-05
Size 524288: 1.663088e-04
Size 1048576: 3.204957e-04
Size 2097152: 6.280446e-04
Size 4194304: 1.265407e-03
